SQL Statements,Modified_Statements,Missing Type,Missing Element,Error Position,Query Length,Query Type
select (66),No modification,N/A,N/A,{},11,SELECT
SELECT  * FROM  [412].[bact detection distinct peptides] LEFT JOIN  [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] ON [412].[bact detection distinct peptides].peptide=[interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide,SELECT  * FROM  [412].[bact detection distinct peptides]  JOIN  [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] ON [412].[bact detection distinct peptides].peptide=[interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide,Missing Keywords,LEFT,{'LEFT': 8},233,SELECT
"WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  TOP 500 * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance","WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  TOP 500 * ,  [Distance (m)] / ([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance",Missing Keywords,NULLIF,{'NULLIF': 209},882,OTHER
"SELECT  [entry no.] as [B1.2 entry no.], [protein] AS [B1.2 protein], [protein probability] AS [B1.2 protein probability], [protein description] AS [B1.2 protein description], [percent coverage] AS [B1.2 percent coverage], [tot indep spectra] AS [B1.2 tot indep spectra], [percent share of spectrum IDs] AS [B1.2 percent share of spectrum IDs], [peptides] as [B1.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection51.prot.xls]",No modification,N/A,N/A,{},444,SELECT
SELECT  CGI_ID FROM  [1123].[Cgigas-RNAseq-HS-goslim],No modification,N/A,N/A,{},53,SELECT
SELECT   date + ' ' + time FROM  [1052].[PP-orca master] x,No modification,N/A,N/A,{},58,SELECT
"SELECT SUM([CG2 SpC/L]) AS [SUM CG2 SpC/L], SUM([CG5 SpC/L]) AS [SUM CG5 SpC/L], SUM([CG8 SpC/L]) AS [SUM CG8 SpC/L], SUM([CG11 SpC/L]) AS [SUM CG11 SpC/L], SUM([CG26 SpC/L]) AS [SUM CG26 SpC/L], SUM([CG29 SpC/L]) AS [SUM CG29 SpC/L], SUM([CG32 SpC/L]) AS [SUM CG32 SpC/L], SUM([CG35 SpC/L]) AS [SUM CG35 SpC/L], SUM([CG221 SpC/L]) AS [SUM CG221 SpC/L], SUM([CG224 SpC/L]) AS [SUM CG224 SpC/L], SUM([CG227 SpC/L]) AS [SUM CG227 SpC/L], SUM([CG230 SpC/L]) AS [SUM CG230 SpC/L], SUM([CG242 SpC/L]) AS [SUM CG242 SpC/L], SUM([CG245 SpC/L]) AS [SUM CG245 SpC/L], SUM([CG248 SpC/L]) AS [SUM CG248 SpC/L], SUM([CG251 SpC/L]) AS [SUM CG251 SpC/L] FROM  [412].[SpC-L for all proteins all oysters]",No modification,N/A,N/A,{},688,SELECT
"SELECT [protein] AS [protein45], [protein probability] AS [protein probability45], [percent coverage] AS [percent coverage45], [tot indep spectra] AS [tot indep spectra45], [peptides] AS [peptides45] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS [protein45], [protein probability] AS [protein probability45], [percent coverage] AS [percent coverage45], [tot indep spectra] AS [tot indep spectra45], [peptides] AS [peptides45]  [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] WHERE  [tot indep spectra]>1",Missing Keywords,FROM,{'FROM': 25},290,SELECT
SELECT  * FROM  [412].[table_loadings from skyline nmds.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_loadings from skyline nmds.txt].Protein=[412].[table_Cg proteome db evalue -10.txt].Protein,No modification,N/A,N/A,{},224,SELECT
"select * FROM  ( select cast(month + '/' + day + '/' + year as datetime) as ddate ,  cast(substring(stime, 1, 2) as integer) as hours ,  cast(substring(stime, 3, 2) as integer) as minutes ,  cast(substring(stime, 5, 2) as integer) as seconds ,  * from ( select substring(sdate, len(sdate) - 5, 2) as day ,  substring(sdate, len(sdate) - 3, 2) as month ,  substring(sdate, len(sdate) - 1, 2) as year ,  substring(ztime, len(ztime) - 5, 6) as stime ,  * from ( select '00000' + cast(time as varchar) as ztime ,  '0' + cast(date as varchar) as sdate ,  * from [1002].[Tokyo_0_merged_data.csv] ) x ) y ) z order by timestamp","select * FROM  ( select cast(month + '/' + day + '/' + year as datetime) as ddate ,  cast((stime, 1, 2) as integer) as hours ,  cast(substring(stime, 3, 2) as integer) as minutes ,  cast(substring(stime, 5, 2) as integer) as seconds ,  * from ( select substring(sdate, len(sdate) - 5, 2) as day ,  substring(sdate, len(sdate) - 3, 2) as month ,  substring(sdate, len(sdate) - 1, 2) as year ,  substring(ztime, len(ztime) - 5, 6) as stime ,  * from ( select '00000' + cast(time as varchar) as ztime ,  '0' + cast(date as varchar) as sdate ,  * from [1002].[Tokyo_0_merged_data.csv] ) x ) y ) z order by timestamp",Missing Function,substring,{'substring': 20},620,SELECT
select * FROM  [1123].[Mgo_RNAseq_transcript],No modification,N/A,N/A,{},45,SELECT
"SELECT SUM([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], SUM([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L] FROM  [412].[Macoma individual SpC-L]","SELECT ([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], SUM([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L] FROM  [412].[Macoma individual SpC-L]",Missing Function,SUM,{'SUM': 2},995,SELECT
select * from Glycerol_Stocks_Locations where Target_name like 'MytuD.00010.a.A1%',SELECT * from Glycerol_Stocks_Locations where Target_name 'MytuD.00010.a.A1%',Missing Keywords,like,{'like': 7},82,SELECT
"create table Inproceedings (pubid int primary key,  booktitle text,  editor text)","create table (pubid int primary key,  booktitle text,  editor text)",Missing Function,Inproceedings ,{'Inproceedings':3},81,CREATE
SELECT  * FROM  [826].[table_thapsIT_hemizygous_genes.txt] IT join [826].[Hemi_ALL_temp] artifact on IT.proteinId != artifact.proteinId,SELECT *  FROM  .[table_thapsIT_hemizygous_genes.txt] IT join [826].[Hemi_ALL_temp] artifact on IT.proteinId != artifact.proteinId,Missing Table,[826],{'[826]': 4},135,SELECT
"SELECT  * FROM  [1123].[RobertsLab_PrimerDatabase] Where ""Organism"" like '%gigas' or Organism like '%oyst%' AND ""Designed By"" like 'Brad%'",No modification,N/A,N/A,{},138,SELECT
SELECT  * FROM  [1123].[qDOD_Protein_Sequences] pro Left Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim, SELECT * FROM  [1123].[qDOD_Protein_Sequences] pro Left Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim,Missing Allias,pro,{'pro': 5},99,SELECT
SELECT  * FROM delete from [790].[table_PhoneBook.csv] where [name]='Sara',SELECT  * FROM  from [790].[table_PhoneBook.csv] where [name]='Sara',N/A,N/A,{},74,SELECT
SELECT  * FROM  [826].[deUrea_BH.csv] where logFC < 0 and BH < 0.0001,No modification,N/A,N/A,{},69,SELECT
"Select term_id , doc_id , ftd*log10(D/ftDocs) TF_IDF from (SELECT freq.term_id , doc_id , sum(frequency)  ftd , max(dist_doc_cnt.D) D, max(ftDocs.ftDocs) ftDocs",No modification,N/A,N/A,{},160,SELECT
"SELECT  budget ,  category_label as category ,  Description ,  cast(inv_date as date) as inv_date ,  BAR_Amt ,  cd,  PO_Invoice,  Encumbered FROM  [1314howe].[ALL_Operations_Details.csv] where len(INV_Date) = 0","SELECT  budget ,  category_label as category ,  Description ,  cast(inv_date as date) as inv_date ,  BAR_Amt ,  cd,  PO_Invoice,  Encumbered FROM  .[ALL_Operations_Details.csv] where len(INV_Date) = 0",Missing Table,[1314howe],{'[1314howe]': 22},210,SELECT
"SELECT  [time],  [pop],  [abundance],  [fsc_small] FROM  [1059].[STATS_VIEW] ORDER BY  [time] ASC",No modification,N/A,N/A,{},97,SELECT
select * from sys.schemas,No modification,N/A,N/A,{},25,SELECT
"SELECT  floor(latitude/0.7)*0.7 as latbin ,  floor(longitude/0.7)*0.7 as lonbin ,  floor(0.2/0.7)*0.7,  0.14/0.7 ,  species FROM  [690].[All3col]",No modification,N/A,N/A,{},145,SELECT
"SELECT  [entry no.] as [C3.2 entry no.], [protein] AS [C3.2 protein], [protein probability] AS [C3.2 protein probability], [protein description] AS [C3.2 protein description], [percent coverage] AS [C3.2 percent coverage], [tot indep spectra] AS [C3.2 tot indep spectra], [percent share of spectrum IDs] AS [C3.2 percent share of spectrum IDs], [peptides] as [C3.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection89_150512121311.prot.xls]",No modification,N/A,N/A,{},457,SELECT
"SELECT  [DMY]/10000 AS day1, ([DMY]%10000)/100 AS month, ([DMY]%100) AS year, [HMS]/10000 as hour, ([HMS]%10000)/100 as minute, ([HMS]%100) as second, LAT, LON, SALINITY, [OCEAN.TEMP],  day,  [file] FROM  [1057].[table_MBARI_1_sds.csv] WHERE  ISNUMERIC(DMY)<>0 AND  ISNUMERIC(HMS)<>0","SELECT  [DMY]/10000 AS day1, ([DMY]%10000)/100 AS month, ([DMY]%100) AS year, [HMS]/10000 as hour, ([HMS]%10000)/100 as minute, ([HMS]%100) as second, LAT, LON, SALINITY, [OCEAN.TEMP],  day,  [file] FROM  [1057].[table_MBARI_1_sds.csv] WHERE  (DMY)<>0 AND  ISNUMERIC(HMS)<>0",Missing Function,ISNUMERIC,{'ISNUMERIC': 29},283,SELECT
SELECT  * FROM  [1123].[TJGR_genomic_gene.txt] Where gID = 'CGI_10000088', SELECT *  [1123].[TJGR_genomic_gene.txt] Where gID = 'CGI_10000088',Missing Keywords,FROM,{'FROM': 3},73,SELECT
SELECT  * FROM  [1123].[qDOD_scaffold_sequence.txt] Where Column1 = 'scaffold29146',SELECT  * FROM  [1123].[qDOD_scaffold_sequence.txt] Where Column1 =,Missing Value,scaffold29146',"{""scaffold29146'"": 8}",83,SELECT
SELECT  * FROM  [1123].[OlyO transcriptome v3 swiss-prot Blast]oly left join [1123].[uniprot-reviewed_wGO_010714]up on oly.Column1=up.Entry,No modification,N/A,N/A,{},139,SELECT
"SELECT [protein] AS [protein19], [protein probability] AS [protein probability19], [percent coverage] AS [percent coverage19], [tot indep spectra] AS [tot indep spectra19], [peptides] AS [peptides19] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea19.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS [protein19], [protein probability] AS , [percent coverage] AS [percent coverage19], [tot indep spectra] AS [tot indep spectra19], [peptides] AS [peptides19] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea19.prot.xls] WHERE  [tot indep spectra]>1",Missing Column,[protein probability19],{'[protein probability19]':8},290,SELECT
SELECT  * FROM  [1123].[fish546_module1_blast_table] INNER JOIN  [1123].[associations_uni_swisspro_012410] ON [1123].[fish546_module1_blast_table].SPID=[1123].[associations_uni_swisspro_012410].ID,SELECT  * FROM  .[fish546_module1_blast_table] INNER JOIN  .[associations_uni_swisspro_012410] ON [1123].[fish546_module1_blast_table].SPID=[1123].[associations_uni_swisspro_012410].ID,Missing Table,[1123],{'[1123]': 4},196,SELECT
"SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  CAST([LAT] AS VARCHAR) AS [LAT] ,  CAST([LON] AS VARCHAR) AS [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  CAST([SALINITY] AS VARCHAR) AS [SALINITY] --  ,  CAST([OCEAN.TEMP] AS VARCHAR) AS [OCEAN.TEMP] --  ,  CAST([BULK.RED] AS VARCHAR) AS [BULK.RED] --  ,  CAST([STREAM.PRESSURE] AS VARCHAR) AS [STREAM.PRESSURE] --  ,  CAST([FILTER.PRESSURE] AS VARCHAR) AS [FILTER.PRESSURE] --  ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] --  ,  CAST([Xaccel] AS VARCHAR) AS [Xaccel] --  ,  CAST([Yaccel] AS VARCHAR) AS [Yaccel] --  ,  CAST([Zaccel] AS VARCHAR) AS [Zaccel] --  ,  CAST([MILLISECOND.TIMER] AS VARCHAR) AS [MILLISECOND.TIMER] --  ,  CAST([LASER.POWER] AS VARCHAR) AS [LASER.POWER] --  ,  CAST([EVENT.RATE] AS VARCHAR) AS [EVENT.RATE] --  ,  CAST([FLOW.METER] AS VARCHAR) AS [FLOW.METER] --  ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] --  ,  CAST([CHL] AS VARCHAR) AS [CHL] --  ,  CAST([Light.Trans] AS VARCHAR) AS [Light.Trans] --  ,  CAST([acq.Error] AS VARCHAR) AS [acq.Error] --  ,  CAST([D1.D2] AS VARCHAR) AS [D1.D2] --  ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] --  ,  CASE WHEN [time] = 'NA' THEN NULL ELSE [time] END AS [time] --   ,  CASE WHEN [day] = 'NA' THEN NULL ELSE [day] END AS [day] --  ,  CAST([file] AS VARCHAR) AS [file] --  ,  CASE WHEN [DMY] = 'NA' THEN NULL ELSE [DMY] END AS [DMY] --  ,  CASE WHEN [HMS] = 'NA' THEN NULL ELSE [HMS] END AS [HMS] FROM  [1059].[sds.tab] --ORDER BY  [UnixTimestamp] ASC","SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  CAST([LAT] AS VARCHAR) AS [LAT] ,  CAST([LON] AS VARCHAR) AS [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  CAST([SALINITY] AS VARCHAR) AS [SALINITY] --  ,  CAST([OCEAN.TEMP] AS VARCHAR) AS [OCEAN.TEMP] --  ,  CAST([BULK.RED] AS VARCHAR) AS [BULK.RED] --  ,  CAST([STREAM.PRESSURE] AS VARCHAR) AS [STREAM.PRESSURE] --  ,  CAST([FILTER.PRESSURE] AS VARCHAR) AS [FILTER.PRESSURE] --  ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] --  ,  CAST([Xaccel] AS VARCHAR) AS [Xaccel] --  ,  CAST([Yaccel] AS VARCHAR) AS [Yaccel] --  ,  CAST([Zaccel] AS VARCHAR) AS [Zaccel] --  ,  CAST([MILLISECOND.TIMER] AS VARCHAR) AS [MILLISECOND.TIMER] --  ,  CAST([LASER.POWER] AS VARCHAR) AS [LASER.POWER] --  ,  CAST([EVENT.RATE] AS VARCHAR) AS [EVENT.RATE] --  ,  CAST([FLOW.METER] AS VARCHAR) AS [FLOW.METER] --  ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] --  ,  CAST([CHL] AS VARCHAR) AS [CHL] --  ,  CAST([Light.Trans] AS VARCHAR) AS [Light.Trans] --  ,  CAST([acq.Error] AS VARCHAR) AS [acq.Error] --  ,  CAST([D1.D2] AS VARCHAR) AS [D1.D2] --  ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] --  ,  CASE WHEN [time] = 'NA' THEN NULL ELSE [time] END AS [time] --   ,  CASE WHEN [day] = 'NA' THEN NULL ELSE [day] END AS [day] --  ,  CAST([file] AS VARCHAR) AS [file] --  ,  CASE WHEN [DMY] = 'NA' THEN NULL ELSE [DMY] END AS [DMY] --  ,  CASE WHEN [HMS] = 'NA' THEN NULL ELSE [HMS] END AS [HMS] FROM  [1059].[sds.tab] --ORDER   [UnixTimestamp] ASC",Missing Column,BY,{'BY': 328},1701,SELECT
"SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#N/A' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  CASE WHEN [Accession] = '#N/A' THEN NULL ELSE [Accession] END AS [Accession] ,  CASE WHEN [BLAST_NR ANNOTATION] = '#N/A' THEN NULL ELSE [BLAST_NR ANNOTATION] END AS [Accession] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins]  '#N/A' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  CASE WHEN [Accession] = '#N/A' THEN NULL ELSE [Accession] END AS [Accession] ,  CASE WHEN [BLAST_NR ANNOTATION] = '#N/A' THEN NULL ELSE [BLAST_NR ANNOTATION] END AS [Accession] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]",Missing Comparision,=',{'=':8},644,SELECT
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02,SELECT *  FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt]  [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02,Missing Keywords,on ,{'on':12},1017,SELECT
"SELECT  [time],  attenuation FROM ( SELECT  [time],  attenuation FROM [1059].[CSTAR_VIEW] ) AS subbie","SELECT  [time],  attenuation FROM ( SELECT  [time],  attenuation FROM [1059].[CSTAR_VIEW] ) AS ",Missing Column,subbie,{'subbie': 13},101,SELECT
"SELECT  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc,  count(*) FROM  [826].[FracyInterProScan_noNULL] GROUP BY  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc"," SELECT GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc,  count(*) FROM  [826].[FracyInterProScan_noNULL] GROUP  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc",Missing Keywords,BY,{'BY': 10},187,SELECT
"SELECT  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type,  count(*) as score FROM  [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] WHERE  action = 'promote' GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type","SELECT  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type,  (*) as score FROM  [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] WHERE  action = 'promote' GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type",Missing Function,count,{'count': 8},271,SELECT
"SELECT  'arboretum' as datasource ,  Obs_id ,  NULL as species_code ,  species as common_name ,  NULL as scientific_name ,  q as questionable ,  st as state ,  Co as county ,  convert(datetime,  [date]) as date","SELECT  'arboretum' as datasource ,  Obs_id ,  NULL as species_code ,  species as common_name ,  NULL as scientific_name ,  q as questionable ,  st as state ,  Co as county ,  convert(datetime,  []) as",Missing Keywords,date,{'date': 35},210,SELECT
SELECT  * FROM  [188].[table_ec_pathway.csv] where ec_number is null,No modification,N/A,N/A,{},68,SELECT
"SELECT  LAT,  LON,  [file],  [OCEAN.TEMP],  SALINITY,  day,  [BULK.RED], convert(date,  DMY,  101) as DMY, convert(date,  HMS,  103) as HMS FROM  [1057].[Thompson4_sds.tab]",No modification,N/A,N/A,{},172,SELECT
"SELECT  TOP 10 a.fullname,  count(*) as c FROM   [1143].[author] a, [1143].[authored] b, [1143].[inproceedings] p WHERE  a.fullname = b.fullname and b.pubID = p.id and p.booktitle='NSDI' and not exists (SELECT  * FROM  [1143].[authored] b2, [1143].[inproceedings] p2 WHERE  a.fullname = b2.fullname and b2.pubID = p2.id and p2.booktitle='SIGCOMM') GROUP BY  a.fullname ORDER BY  c DESC","SELECT  TOP 10 a.fullname,  (*) as c FROM   [1143].[author] a, [1143].[authored] b, [1143].[inproceedings] p WHERE  a.fullname = b.fullname and b.pubID = p.id and p.booktitle='NSDI' and not exists (SELECT  * FROM  [1143].[authored] b2, [1143].[inproceedings] p2 WHERE  a.fullname = b2.fullname and b2.pubID = p2.id and p2.booktitle='SIGCOMM') GROUP BY  a.fullname ORDER BY  c DESC",Missing Function,count,{'count': 5},385,SELECT
